tested_ids,most_possible_intention,most_possible_intention_cf,second_possible_intention,second_possible_intention_cf,third_possible_intention,third_possible_intention_cf,ground_truth_intention
0,agent_2-help-agent_1-putinto_timer_6_na,0.8,agent_2-observe-agent_1,0.65,agent_2-na,0.3,agent_2-putonto-dumbbell_3-table_4
1,agent_2-help-agent_1-putinto-timer_6-box_5,0.6,agent_2-putonto-dumbbell_3-table_4,0.3,agent_2-inform-agent_1-box_5,0.2,agent_2-putonto-dumbbell_3-table_4
2,agent_2-help-agent_1-putinto-timer_6-na,0.75,agent_2-putonto-dumbbell_3-table_4,0.7,agent_2-inform-agent_1-putonto-dumbbell_3-table_4,0.6,agent_2-putonto-dumbbell_3-table_4
3,agent_2-putonto-dumbbell_3-table_4,0.9,agent_2-help-agent_1-(get-timer_6-timer_6),0.6,agent_2-help-agent_1-(putinto-timer_6-na),0.4,agent_2-putonto-dumbbell_3-table_4
4,agent_2-putonto-dumbbell_3-table_4,0.95,agent_2-help-agent_1-putinto-timer_6,0.6,agent_2-observe-agent_1,0.4,agent_2-putonto-dumbbell_3-table_4
5,agent_2-greet-agent_1,0.85,agent_2-respondto-agent_1,0.75,agent_2-observe-agent_1,0.1,agent_2-greet-agent_1
6,agent_2-na,0.7,agent_2-respondto-agent_1,0.2,agent_2-find-cup_4,0.1,agent_2-find-na
7,agent_2-harm-agent_1-get-cup_4-agent_1,0.7,agent_2-get-cup_4-agent_2,0.6,agent_2-inform-agent_1-will_not_assist_with_cup_4,0.4,agent_2-harm-agent_1-get-cup_4-me
8,agent_2-harm-agent_1-get-cup_4-me,0.9,agent_2-get-cup_4-me,0.7,agent_2-respondto-agent_1,0.6,agent_2-harm-agent_1-get-cup_4-me
9,agent_2-harm-agent_1-(requesthelp-agent_2-get-cup_4-agent_2),0.6,agent_2-inform-agent_1-refusetocooperatewithhelp,0.3,agent_2-respondto-agent_1,0.1,agent_2-harm-agent_1-get-cup_4-me
10,agent_2-harm-agent_1-requesthelp-me-get-cup_4-me,0.85,agent_2-inform-agent_1-i_smashed_cup_4,0.75,agent_2-na,0.4,agent_2-harm-agent_1-get-cup_4-me
11,agent_2-harm-agent_1-putonto-cup_4-table_3,0.9,agent_2-respondto-agent_1,0.75,agent_2-inform-agent_1-cupissmashed,0.65,agent_2-harm-agent_1-get-cup_4-me
12,agent_2-respondto/greet-agent_1,0.6,agent_2-na,0.3,agent_2-observe-agent_1,0.1,agent_2-open-shelf_4
13,agent_2-respondto-agent_1,0.85,agent_2-open-shelf_4,0.7,agent_2-harm-agent_1-open-box_5,0.5,agent_2-requesthelp-agent_1-open-shelf_4
14,agent_2-get-cup_6-shelf_4,0.8,agent_2-respondto-agent_1,0.6,agent_2-observe-cup_6,0.3,agent_2-requesthelp-agent_1-open-shelf_4
15,agent_2-get-cup_6-agent_1,0.7,agent_2-respondto-agent_1,0.2,agent_2-inform-agent_1-thank you,0.1,agent_2-requesthelp-agent_1-open-shelf_4
16,agent_2-respondto-agent_1,0.85,agent_2-na,0.5,agent_2-get-cup_6-agent_1,0.35,agent_2-requesthelp-agent_1-open-shelf_4
17,agent_1-greet-agent_2,0.7,agent_1-requesthelp-agent_2-find-key_3,0.6,agent_1-inform-agent_2-get-key_3-box_5,0.5,agent_1-requesthelp-agent_2-get-key_3-box_5
18,agent_1-requesthelp-agent_2-get-key_3-box_5,0.8,agent_1-inform-agent_2-goal_get_key_3_box_5,0.65,agent_1-requesthelp-agent_2-open-box_5,0.5,agent_1-requesthelp-agent_2-get-cup_6-shelf_4
19,agent_1-inform-agent_2-theirharm,0.7,agent_1-respondto-agent_2,0.2,agent_1-na,0.1,agent_1-get-cup_6-shelf_4
20,agent_1-give-cup_6-agent_2,0.75,agent_1-get-cup_6-shelf_4,0.55,agent_1-inform-agent_2-cup_6,0.3,agent_1-get-cup_6-shelf_4
21,agent_1-requesthelp-agent_2-get-cup_6-shelf_4,0.7,agent_1-get-cup_6-shelf_4,0.6,agent_1-inform-agent_2-get-cup_6-shelf_4,0.3,agent_1-get-cup_6-na
22,agent_1-open-box_6,0.85,agent_1-find-key_3,0.7,agent_1-get-key_3-box_6,0.5,agent_1-find-key_3
23,agent_1-find-key_3,0.9,agent_1-open-box_5,0.8,agent_1-get-key_3-box_5,0.6,agent_1-find-key_3
24,agent_1-find-key_3,0.9,agent_1-observe-box_5,0.75,agent_1-get-key_3-box_5,0.6,agent_1-find-key_3
