tested_ids,most_possible_intention,most_possible_intention_cf,second_possible_intention,second_possible_intention_cf,third_possible_intention,third_possible_intention_cf,ground_truth_intention
0,PlayWith-timer_6-agent_1,0.9,Find-timer_6,0.5,Give-box_5-agent_1,0.1,agent_2-putonto-dumbbell_3-table_4
1,PlayWith-box_5-agent_1,0.9,Give-box_5-agent_1,0.5,Inform-agent_1-box_5,0.1,agent_2-putonto-dumbbell_3-table_4
2,Get-dumbbell_3,0.9,Observe-table_4,0.5,Harm-agent_2-Inform-agent_1-box_5,0.1,agent_2-putonto-dumbbell_3-table_4
3,Open-box_5,0.9,RespondTo-agent_1,0.5,Open-dumbbell_3,0.1,agent_2-putonto-dumbbell_3-table_4
4,RespondTo-agent_1,0.9,Help-agent_2-Give-dumbbell_3-agent_1,0.5,PlayWith-dumbbell_3-agent_1,0.1,agent_2-putonto-dumbbell_3-table_4
5,Get-table_3,0.9,Open-table_3,0.5,PlayWith-table_3-agent_1,0.1,agent_2-greet-agent_1
6,Inform-agent_1-table_3,0.9,Observe-agent_1,0.5,RespondTo-agent_1,0.1,agent_2-find-na
7,Inform-agent_1-chess_5,0.9,Give-cup_4-agent_1,0.5,Give-table_3-agent_1,0.1,agent_2-harm-agent_1-get-cup_4-me
8,PutInto-table_3-cup_4,0.9,Harm-agent_2-PutOnto-cup_4-chess_5,0.5,Inform-agent_1-table_3,0.1,agent_2-harm-agent_1-get-cup_4-me
9,Help-agent_2-PutInto-table_3-cup_4,0.9,Find-chess_5,0.5,Find-table_3,0.1,agent_2-harm-agent_1-get-cup_4-me
10,Greet-agent_1,0.9,Get-table_3,0.5,Inform-agent_1-cup_4,0.1,agent_2-harm-agent_1-get-cup_4-me
11,Give-cup_4-agent_1,0.9,Observe-cup_4,0.5,Greet-agent_1,0.1,agent_2-harm-agent_1-get-cup_4-me
12,PlayWith-agent_1,0.9,Observe-world,0.5,PutInto,0.1,agent_2-open-shelf_4
13,RespondTo-agent_1,0.9,Observe-cup_6,0.5,Harm-agent_2-PutOnto-cup_6-cup_6,0.1,agent_2-requesthelp-agent_1-open-shelf_4
14,RespondTo-agent_1,0.9,RequestHelp-agent_2-PlayWith-box_5-agent_1,0.5,RespondTo-agent_1,0.1,agent_2-requesthelp-agent_1-open-shelf_4
15,PutInto-chess_7-box_5,0.9,PutOnto-chess_7-box_5,0.5,Observe-shelf_4,0.1,agent_2-requesthelp-agent_1-open-shelf_4
16,Get-box_5,0.9,Help-agent_2-Give-dumbbell_8-agent_1,0.5,Inform-agent_1-dumbbell_8,0.1,agent_2-requesthelp-agent_1-open-shelf_4
17,RequestHelp-agent_1-Find-cup_6,0.9,RequestHelp-agent_1-Find-chess_7,0.5,Get-cup_6,0.1,agent_1-requesthelp-agent_2-get-key_3-box_5
18,Get-cup_6,0.9,RequestHelp-agent_1-PutInto-chess_7-cup_6,0.5,Give-chess_7,0.1,agent_1-requesthelp-agent_2-get-cup_6-shelf_4
19,Find-key_3,0.9,RespondTo-agent_2,0.5,PutOnto-chess_7-box_5,0.1,agent_1-get-cup_6-shelf_4
20,Harm-agent_1-Observe-chess_7,0.9,Find-dumbbell_8,0.5,Give-cup_6-agent_2,0.1,agent_1-get-cup_6-shelf_4
21,Open-box_5,0.9,Observe-box_5,0.5,Greet-agent_2,0.1,agent_1-get-cup_6-na
22,Inform-box_6,0.9,Give-box_6,0.5,RespondTo,0.1,agent_1-find-key_3
23,Harm-agent_1-Greet,0.9,Inform-box_6,0.5,RespondTo,0.1,agent_1-find-key_3
24,Get-box_6,0.9,RequestHelp-agent_1-Observe-box_5,0.5,RequestHelp-agent_1-Greet,0.1,agent_1-find-key_3
25,Help-agent_1-PlayWith-box_5,0.9,Give-box_6,0.5,Help-agent_1-PutInto-box_5-box_6,0.1,agent_1-find-key_3
26,Harm-agent_1-Open-box_5,0.9,Find-box_6,0.5,PlayWith-box_6,0.1,agent_1-find-key_3
27,Observe-box_5,0.9,RespondTo,0.5,PutOnto-box_5-box_5,0.1,agent_1-find-key_3
28,Greet,0.9,Harm-agent_1-Open-box_6,0.5,RequestHelp-agent_1-Inform-box_6,0.1,agent_1-find-key_3
29,Harm-agent_2-Give-key_6,0.9,PutInto-dumbbell_3-box_5,0.5,RequestHelp-agent_2-Open-box_5,0.1,agent_2-putonto-dumbbell_3-table_4
30,Observe-dumbbell_3,0.9,Observe-dumbbell_3,0.5,PutOnto-key_6-dumbbell_3,0.1,agent_2-putonto-dumbbell_3-table_4
31,Open-dumbbell_3,0.9,Observe-dumbbell_3,0.5,PutOnto-key_6-table_4,0.1,agent_2-putonto-dumbbell_3-table_4
32,PlayWith-key_6,0.9,Greet,0.5,Get-dumbbell_3,0.1,agent_2-putonto-dumbbell_3-table_4
33,Help-agent_2-Observe-box_5,0.9,Harm-agent_2-Open-box_5,0.5,Give-box_5,0.1,agent_2-putonto-dumbbell_3-table_4
34,Find-table_4,0.9,PlayWith-table_4,0.5,Harm-agent_2-Greet,0.1,agent_2-putonto-key_7-table_4
35,Get-box_5,0.9,Observe-dumbbell_3,0.5,Help-agent_2-PutOnto-dumbbell_3-table_4,0.1,agent_2-putonto-dumbbell_3-table_4
36,PlayWith-books_9-agent_1,0.9,PutInto-shelf_4-key_3,0.5,Help-agent_2-PutInto-box_5-box_5,0.1,agent_2-greet-agent_1
37,Find-banana_8,0.9,RespondTo-agent_1,0.5,RequestHelp-agent_2-PutInto-chess_6-box_5,0.1,agent_2-requesthelp-agent_1-open-shelf_4
38,Greet-agent_1,0.9,Help-agent_2-Observe-shelf_4,0.5,Harm-agent_2-Greet-agent_1,0.1,agent_2-requesthelp-agent_1-open-shelf_4
39,Inform-agent_1-chess_6,0.9,PlayWith-books_9-agent_1,0.5,Help-agent_2-Inform-agent_1-books_9,0.1,agent_2-requesthelp-agent_1-open-shelf_4
40,PutOnto-key_3-books_9,0.9,RespondTo-agent_1,0.5,RequestHelp-agent_2-PutOnto-chess_6-box_5,0.1,agent_2-requesthelp-agent_1-open-shelf_4
41,RespondTo-agent_1,0.9,RespondTo-agent_1,0.5,Help-agent_2-PlayWith-table_10-agent_1,0.1,agent_2-help-agent_1-putinto-chess_6-box_5
42,Greet-agent_1,0.9,Get-key_3,0.5,Get-chess_6,0.1,agent_2-help-agent_1-putinto-chess_6-box_5
43,RespondTo,0.9,PutInto-box_3-box_3,0.5,Inform-box_3,0.1,agent_1-requesthelp-agent_2-open-box_3
44,Inform-agent_2-box_3,0.9,PlayWith-box_3-agent_2,0.5,PutOnto-box_3-box_3,0.1,agent_1-requesthelp-agent_2-open-box_3
45,RespondTo-agent_2,0.9,PutOnto-box_3-box_3,0.5,PlayWith-box_3-agent_2,0.1,agent_1-requesthelp-agent_2-open-box_3
46,Inform-agent_2-box_3,0.9,RequestHelp-agent_1-PutOnto-box_3-box_3,0.5,PutOnto-box_3-box_3,0.1,agent_1-requesthelp-agent_2-open-box_3
47,PutOnto-key_4-key_4,0.9,Help-agent_1-Inform-agent_2-box_3,0.5,RequestHelp-agent_1-Find-box_3,0.1,agent_1-requesthelp-agent_2-open-box_3
48,Give-box_3-agent_2,0.9,PutOnto-key_4-box_3,0.5,Get-box_3,0.1,agent_1-requesthelp-agent_2-open-box_3
49,RequestHelp-agent_1-Observe-key_4,0.9,RespondTo-agent_2,0.5,Find-box_3,0.1,agent_1-requesthelp-agent_2-open-box_3
50,PutInto-books_4-table_5,0.9,Get-dumbbell_3,0.5,Give-table_5-agent_1,0.1,agent_2-greet-agent_1
51,PutOnto-dumbbell_3-dumbbell_3,0.9,Harm-agent_2-Get-table_5,0.5,Open-books_4,0.1,agent_2-get-dumbbell_3-table_5
52,RequestHelp-agent_2-PlayWith-dumbbell_3-agent_1,0.9,Observe-agent_1,0.5,Inform-agent_1-table_5,0.1,agent_2-get-dumbbell_3-table_5
53,Observe-agent_1,0.9,PlayWith-dumbbell_3-agent_1,0.5,RespondTo-agent_1,0.1,agent_2-help-agent_1-putonto-books_4-table_5
54,Observe-dumbbell_3,0.9,RespondTo-agent_1,0.5,PutOnto-books_4-table_5,0.1,agent_2-give-books_4-agent_1
55,RespondTo-agent_1,0.9,RequestHelp-agent_2-Observe-agent_1,0.5,Get-books_4,0.1,agent_2-give-books_4-agent_1
56,PutOnto-table_5-dumbbell_3,0.9,PlayWith-dumbbell_3-agent_1,0.5,RequestHelp-agent_2-RespondTo-agent_1,0.1,agent_2-give-books_4-agent_1
57,RequestHelp-agent_2-Greet-agent_1,0.9,Help-agent_2-Greet-agent_1,0.5,Observe-agent_1,0.1,agent_2-observe-world
58,RequestHelp-agent_2-Open-books_4,0.9,Give-dumbbell_3-agent_1,0.5,Greet-agent_1,0.1,agent_2-observe-world
59,RequestHelp-agent_2-PlayWith-table_5-agent_1,0.9,Inform-agent_1-books_4,0.5,Observe-books_4,0.1,agent_2-observe-world
60,PutInto-books_4-books_4,0.9,Get-dumbbell_3,0.5,Inform-agent_1-dumbbell_3,0.1,agent_2-requesthelp-agent_1-get-dumbbell_3-na
61,Open-dumbbell_3,0.9,PlayWith-dumbbell_3-agent_1,0.5,PutInto-dumbbell_3-books_4,0.1,agent_2-requesthelp-agent_1-get-dumbbell_3-na
