tested_ids,most_possible_action,most_possible_action_cf,second_possible_action,second_possible_action_cf,third_possible_action,third_possible_action_cf,ground_truth_action
0,agent_2-actionmoveto-key_5,0.7,agent_2-actionfollowpointing-agent_1,0.2,agent_2-actionpointto-key_5,0.1,agent_2-actionmoveto-agent_1
1,agent_2-actiongrab-key_5,0.8,agent_2-actionmoveto-box_6,0.15,agent_2-actionwait,0.05,agent_2-actionmoveto-key_5
2,agent_2-actiongrab-key_5,0.85,agent_2-actionmoveto-box_4,0.65,agent_2-actionwait,0.15,agent_2-actiongrab-key_5
3,agent_2-actionmoveto-box_4,0.7,agent_2-actionfollowpointing-agent_1,0.2,agent_2-actionunlock-box_4,0.1,agent_2-actionmoveto-agent_1
4,agent_2-actionunlock-box_4,0.9,agent_2-actionopen-box_4,0.7,agent_2-actionputinto-key_5-box_4,0.5,agent_2-actionmoveto-agent_1
5,agent_2-actionunlock-box_4,0.9,agent_2-actionopen-box_4,0.7,agent_2-actionmoveto-box_4,0.5,agent_2-actionmoveto-box_4
6,agent_2-actionunlock-box_4,0.95,agent_2-actionopen-box_4,0.75,agent_2-actionmoveto-box_4,0.1,agent_2-actionmoveto-box_4
7,agent_2-actionmoveto-box_4,0.9,agent_2-actionwait,0.05,agent_2-actionrotateto-box_4,0.05,agent_2-actionmoveto-box_4
8,actiongrab-key_3,0.9,actionwait,0.07,actionmovetoattention-agent_1,0.03,agent_2-actionopen-box_4
9,agent_2-actiongrab-key_3,0.7,agent_2-actionopen-box_4,0.25,agent_2-actionmoveto-key_3,0.05,agent_2-actiongrab-key_3
10,agent_2-actionputinto-key_3-box_6,0.95,agent_2-actionmoveto-box_6,0.03,agent_2-actionwait,0.02,agent_2-actionclose-box_4
11,agent_2-actionmoveto-box_6,0.65,agent_2-actionopen-box_6,0.25,agent_2-actiongrab-key_3,0.1,agent_2-actionmoveto-box_6
12,agent_2-actionopen-box_5,0.5,agent_2-actiongrab-key_3,0.3,agent_2-actionmoveto-box_6,0.2,agent_2-actionmoveto-agent_1
13,agent_2-actiongiveto-key_3-agent_1,0.75,agent_2-actiongrab-key_3,0.15,agent_2-actionmoveto-agent_1,0.1,agent_2-actionwait
14,agent_1-actionspeak-hello,0.5,agent_1-actionwavehand-agent_2,0.3,agent_1-actionnodhead-agent_2,0.2,agent_1-actionspeak-hello!
15,agent_1-actionpointto-cup_6,0.7,agent_1-actionspeak-hello,0.2,agent_1-actiongrab-cup_6,0.1,agent_1-actionpointto-cup_6
16,agent_1-actiongrab-cup_6,0.7,agent_1-actionspeak-hello,0.2,agent_1-actionwait,0.1,agent_1-actionmoveto-cup_6
17,agent_1-actiongrab-cup_6,0.7,agent_1-actionspeak-thank_you,0.2,agent_1-actionwait,0.1,agent_1-actionopen-shelf_4
18,agent_1-actiongrab-cup_6,0.8,agent_1-actionspeak-thank,0.15,agent_1-actionwait,0.05,agent_1-actiongrab-cup_6
19,agent_1-actionpointto-box_4,0.6,agent_1-actionwavehand-agent_2,0.3,agent_1-actionwait,0.1,agent_1-actionpointto-key_5
20,agent_1-actionwavehand-agent_2,0.5,agent_1-actionpointto-key_5,0.3,agent_1-actionwait,0.2,agent_1-actionmoveto-key_5
21,agent_1-actionpointto-box_4,0.7,agent_1-actionmoveto-box_4,0.2,agent_1-actionwait,0.1,agent_1-actionpointto-box_4
22,agent_1-actionpointto-box_4,0.7,agent_1-actionnodhead-agent_2,0.2,agent_1-actionwait,0.1,agent_1-actionrotateto-box_4
23,agent_1-actionpointto-box_4,0.7,agent_1-actionrotateto-box_4,0.2,agent_1-actionwait,0.1,agent_1-actionspeak-hello!
24,agent_1-actionpointto-box_4,0.75,agent_1-actionspeak-hello,0.15,agent_1-actionwavehand-agent_2,0.1,agent_1-actionnodhead
25,agent_1-actionpointto-box_4,0.6,agent_1-actionnodhead-agent_2,0.3,agent_1-actionspeak-thank,0.1,agent_1-actionnodhead
26,agent_1-actionopen-box_6,0.9,agent_1-actiongrab-box_6,0.07,agent_1-actionwait,0.03,agent_1-actionmoveto-box_6
27,agent_1-actionopen-box_5,0.9,agent_1-actionmoveto-box_5,0.7,agent_1-actiongrab-box_5,0.4,agent_1-actionopen-box_6
28,agent_1-actiongrab-key_3,0.7,agent_1-actionmoveto,0.0,agent_1-actionwait,0.1,"agent_1-actionmoveto-[238.0, 504.0]"
29,agent_1-actionmoveto-box_5,0.6,agent_1-actionmoveto-box_6,0.3,agent_1-actionwait,0.1,agent_1-actionopen-box_5
30,agent_1-actionmoveto-box_6,0.65,agent_1-actiongrab-key_3,0.2,"agent_1-actionmoveto-[400,500]",0.15,"agent_1-actionrotateto-[238.0, -224.0]"
31,"agent_1-actionmoveto-[400.0, -300.0]",0.6,"agent_1-actionrotateto-[0.0, 0.0]",0.3,agent_1-actionspeak-hello,0.1,"agent_1-actionmoveto-[196.0, -420.0]"
32,Agent_1-ActionMoveTo-Box_5,0.5,"Agent_1-ActionRotateTo-[400,500]",0.3,Agent_1-ActionSpeak-hello,0.2,"agent_1-actionmoveto-[-560.0, -476.0]"
33,agent_2-actiongrab-key_6,0.9,agent_2-actionmoveto-box_5,0.6,agent_2-actionwait,0.1,agent_2-actionmoveto-key_6
34,agent_2-actiongrab-key_6,0.95,agent_2-actionunlock-box_5,0.03,agent_2-actionmoveto-box_5,0.02,agent_2-actiongrab-key_6
35,agent_2-actionopen-box_5,0.95,agent_2-actiongrab-dumbbell_3,0.65,agent_2-actionwait,0.2,agent_2-actionmoveto-box_5
36,agent_2-actiongrab-dumbbell_3,0.95,agent_2-actionmoveto-table_4,0.03,agent_2-actionwait,0.02,agent_2-actionunlock-box_5
37,agent_2-actiongrab-dumbbell_3,0.9,agent_2-actionmoveto-table_4,0.07,agent_2-actionwait,0.03,agent_2-actionopen-box_5
38,agent_2-actiongrab-dumbbell_3,0.95,agent_2-actionputonto-dumbbell_3-table_4,0.03,agent_2-actionmoveto-table_4,0.02,agent_2-actiongrab-dumbbell_3
39,agent_2-actionputonto-dumbbell_3-table_4,0.95,agent_2-actionmoveto-table_4,0.03,agent_2-actiongrab-dumbbell_3,0.02,agent_2-actionmoveto-table_4
40,Agent_1-ActionPointTo-Box_3,0.7,Agent_1-ActionWaveHand-Agent_2,0.6,Agent_1-ActionSpeak-Hello,0.5,"agent_1-actionmoveto-[252.0000000000001, 70.0]"
41,agent_1-actionspeak-hello,0.5,agent_1-actionwavehand-agent_2,0.3,"agent_1-actionmoveto-[500, -400]",0.2,agent_1-actionpointto-box_3
42,agent_1-actionwavehand-agent_2,0.7,agent_1-actionspeak-hello,0.2,agent_1-actionopen-box_3,0.1,agent_1-actionmoveto-box_3
43,agent_1-actionwavehand-agent_2,0.7,agent_1-actionspeak-hello,0.2,agent_1-actionpointto-box_3,0.1,agent_1-actionspeak-hello!
44,agent_1-actionpointto-box_3,0.6,agent_1-actionwavehand-agent_2,0.3,agent_1-actionspeak-hello,0.1,"agent_1-actionmoveto-[-378.0, -476.0]"
45,agent_1-actionpointto-box_3,0.6,agent_1-actionspeak-hello,0.3,agent_1-actionwavehand-agent_2,0.1,agent_1-actionmoveto-agent_2
46,agent_1-actionpointto-box_3,0.5,agent_1-actionspeak-hello,0.3,agent_1-actionnodhead-agent_2,0.2,agent_1-actionmoveto-agent_2
47,Agent_1-ActionOpen-Box_5,0.85,Agent_1-ActionGrab-Box_5,0.1,Agent_1-ActionWait,0.05,agent_1-actionmoveto-box_5
48,agent_1-actionpointto-chess_6,0.7,agent_1-actionwavehand-agent_2,0.2,agent_1-actionwait,0.1,agent_1-actionpointto-chess_6
49,agent_1-actionwavehand-agent_2,0.5,agent_1-actionmoveto-chess_6,0.3,agent_1-actionpointto-chess_6,0.2,agent_1-actionmovetoattention-agent_2
50,agent_1-actionspeak-play,0.7,agent_1-actionwavehand-agent_2,0.5,agent_1-actionwait,0.3,agent_1-actionnodhead
51,agent_1-actionplay-chess_6,0.9,agent_1-actionwavehand-agent_2,0.5,agent_1-actionspeak-thank,0.3,agent_1-actionspeak-thank you!
52,agent_1-actionplay-chess_6,0.6,agent_1-actionwavehand-agent_2,0.3,agent_1-actionpointto-chess_6,0.1,agent_1-actionrotateto-books_7
53,agent_1-actionwavehand-agent_2,0.5,agent_1-actionspeak-hello,0.3,agent_1-actionnodhead-agent_2,0.2,agent_1-actionspeak-hello!
54,agent_1-actionwait,0.5,agent_1-actionspeak-hello,0.3,agent_1-actionnodhead-agent_2,0.2,agent_1-actionpointto-agent_2
55,agent_1-actionmoveto-agent_2,0.6,agent_1-actionwavehand-agent_2,0.3,agent_1-actionspeak-hello,0.1,agent_1-actionspeak-hello!
56,agent_1-actionmoveto-agent_2,0.6,agent_1-actiongiveto-key_3-agent_2,0.3,agent_1-actionspeak-thank,0.1,agent_1-actionshakehead
57,agent_1-actiongiveto-key_3-agent_2,0.6,agent_1-actionpointto-box_4,0.3,agent_1-actionnodhead-agent_2,0.1,agent_1-actionwait
58,agent_1-actionopen-box_4,0.85,agent_1-actionpointto-box_4,0.65,agent_1-actionspeak-thank,0.3,"agent_1-actionrotateto-[-518.0, 28.0]"
59,agent_1-actionopen-box_4,0.65,agent_1-actionpointto-box_4,0.25,agent_1-actiongrab-box_4,0.1,agent_1-actionpointto-box_6
61,agent_2-actionwait,0.6,agent_2-actionspeak-hello,0.3,agent_2-actionrotateto,0.1,"agent_2-actionrotateto-[84.00000000000011, -434.0]"
62,agent_2-actionmoveto-chess_3,0.7,agent_2-actionpointto-chess_3,0.2,agent_2-actionwavehand-agent_1,0.1,"agent_2-actionrotateto-[672.0, -14.0]"
63,agent_2-actionmoveto-chess_3,0.5,agent_2-actionwavehand-agent_1,0.3,agent_2-actionspeak-hello,0.2,agent_2-actionrotateto-agent_1
64,agent_2-actionplay-chess_3,0.85,agent_2-actiongrab-chess_3,0.65,agent_2-actionnodhead-agent_1,0.5,agent_2-actionspeak-hello!
65,agent_2-actionplay-chess_3,0.75,agent_2-actionpointto-chess_3,0.6,agent_2-actionwait,0.2,agent_2-actionmoveto-chess_3
66,agent_2-actionplay-chess_3,0.75,agent_2-actionspeak,0.6,agent_2-actionpointto-chess_3,0.5,agent_2-actionplay-chess_3
